# IMU Recording (MPU6050) - Movement Chain
# Start time: 2026-01-12T17:15:27.444972
# Sample rate: 100 Hz
# Port: COM3
#
timestamp,AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2026-01-12 17:15:27.446,22,1309
2026-01-12 17:15:27.446,216580,-320,520,539,1299
2026-01-12 17:15:27.446,128,-1108,16588,-272,614,487,1296
2026-01-12 17:15:27.447,16116,-300,149,654,1293
2026-01-12 17:15:27.447,572,-880,16332,-329,339,582,1296
2026-01-12 17:15:27.448,388,-924,16580,-320,520,539,1299
2026-01-12 17:15:27.448,128,-1108,16588,-272,614,487,1296
2026-01-12 17:15:27.448,16116,-300,149,654,1293
2026-01-12 17:15:27.449,572,-880,16332,-329,339,582,1296
2026-01-12 17:15:27.449,388,-924,16580,-320,520,539,1299
2026-01-12 17:15:27.449,128,-1108,16588,-272,614,487,1296
2026-01-12 17:15:27.457,64,-1068,16920,-152,586,462,1298
2026-01-12 17:15:27.469,280,-820,16996,-91,532,483,1297
2026-01-12 17:15:27.482,92,-804,16868,-70,430,524,1300
2026-01-12 17:15:27.498,156,-880,16776,5,284,513,1289
2026-01-12 17:15:27.510,272,-616,16492,137,142,518,1300
2026-01-12 17:15:27.523,324,-152,16376,196,76,555,1297
2026-01-12 17:15:27.535,496,-172,16396,161,77,632,1293
2026-01-12 17:15:27.547,372,-320,16504,98,48,694,1294
2026-01-12 17:15:27.559,204,-556,16368,111,-42,725,1295
2026-01-12 17:15:27.576,348,-560,16076,199,-156,747,1297
2026-01-12 17:15:27.588,420,-556,15696,279,-184,764,1294
2026-01-12 17:15:27.600,344,-536,15708,314,-215,770,1294
2026-01-12 17:15:27.613,100,-784,15364,371,-340,693,1298
2026-01-12 17:15:27.625,288,-592,15116,406,-471,595,1294
2026-01-12 17:15:27.641,264,-468,14836,354,-524,539,1292
2026-01-12 17:15:27.654,272,-484,14664,267,-505,501,1295
2026-01-12 17:15:27.666,320,-404,14604,133,-473,545,1305
2026-01-12 17:15:27.678,272,-240,14776,-95,-418,623,1294
2026-01-12 17:15:27.691,264,-284,14948,-422,-383,676,1295
2026-01-12 17:15:27.707,264,-564,15224,-724,-408,704,1304
2026-01-12 17:15:27.719,448,-712,15476,-865,-466,714,1308
2026-01-12 17:15:27.731,632,-656,15700,-920,-450,771,1287
2026-01-12 17:15:27.744,592,-760,16104,-929,-485,854,1303
2026-01-12 17:15:27.756,800,-872,16276,-998,-476,823,1296
2026-01-12 17:15:27.772,1076,-796,16652,-1141,-355,725,1287
2026-01-12 17:15:27.785,796,-1164,16844,-1282,-273,595,1292
2026-01-12 17:15:27.797,652,-1436,17248,-1252,-285,351,1304
